15:03:07.165 [main] INFO  com.dc.dms.Application - stringHttpMessageConverter
15:03:07.165 [main] INFO  com.dc.dms.Application - systemPublicMetrics
15:03:07.166 [main] INFO  com.dc.dms.Application - testDatabaseJpaConfig
15:03:07.166 [main] INFO  com.dc.dms.Application - tomcatEmbeddedServletContainerFactory
15:03:07.166 [main] INFO  com.dc.dms.Application - tomcatPublicMetrics
15:03:07.169 [main] INFO  com.dc.dms.Application - traceEndpoint
15:03:07.173 [main] INFO  com.dc.dms.Application - traceRepository
15:03:07.173 [main] INFO  com.dc.dms.Application - transactionAttributeSource
15:03:07.173 [main] INFO  com.dc.dms.Application - transactionInterceptor
15:03:07.173 [main] INFO  com.dc.dms.Application - transactionManager
15:03:07.174 [main] INFO  com.dc.dms.Application - transactionTemplate
15:03:07.174 [main] INFO  com.dc.dms.Application - userDaoImpl
15:03:07.174 [main] INFO  com.dc.dms.Application - userResource
15:03:07.174 [main] INFO  com.dc.dms.Application - userService
15:03:07.174 [main] INFO  com.dc.dms.Application - webAppConfigurer
15:03:07.175 [main] INFO  com.dc.dms.Application - webConfig
15:03:07.175 [main] INFO  com.dc.dms.Application - webRequestLoggingFilter
15:03:07.175 [main] INFO  com.dc.dms.Application - websocketContainerCustomizer
16:04:49.672 [main] INFO  com.dc.dms.Application - Starting Application on LIN51002900 with PID 16188 (C:\Users\sacjoshi\dms\dms\dms-web\target\classes started by sacjoshi in C:\Users\sacjoshi\dms\dms\dms-web)
16:04:49.680 [main] DEBUG com.dc.dms.Application - Running with Spring Boot v1.4.2.RELEASE, Spring v4.3.4.RELEASE
16:04:49.681 [main] INFO  com.dc.dms.Application - No active profile set, falling back to default profiles: default
16:05:09.985 [main] INFO  com.dc.dms.Application - Started Application in 21.82 seconds (JVM running for 42.974)
16:05:09.986 [main] INFO  com.dc.dms.Application - DMSServiceConfig
16:05:09.986 [main] INFO  com.dc.dms.Application - actuatorMetricReader
16:05:09.986 [main] INFO  com.dc.dms.Application - application
16:05:09.987 [main] INFO  com.dc.dms.Application - applicationConfig
16:05:09.987 [main] INFO  com.dc.dms.Application - applicationContextIdFilter
16:05:09.987 [main] INFO  com.dc.dms.Application - auditEventRepository
16:05:09.987 [main] INFO  com.dc.dms.Application - auditListener
16:05:09.987 [main] INFO  com.dc.dms.Application - autoConfigurationReportEndpoint
16:05:09.987 [main] INFO  com.dc.dms.Application - beansEndpoint
